"word1","word2","n"
"data","science",400
"computer","science",341
"machine","learning",339
"relevant","experience",291
"data","mining",177
"learning","data",158
"artificial","intelligence",153
"algorithms","programming",144
"college","level",144
"math","courses",144
"programming","data",144
"related","field",127
"advanced","statistical",124
"equal","opportunity",107
"data","scientist",101
"mathematics","statistics",98
"opportunity","employer",92
"operations","research",91
"position","salary",90
"bachelor's","degree",84
"statistical","analysis",83
"sexual","orientation",82
"applied","mathematics",80
"information","systems",80
"software","engineering",79
"national","origin",78
"applied","statistics",77
"veteran","status",77
"gender","identity",76
"science","advanced",76
"statistics","applied",76
"accredited","college",75
"advanced","analytical",75
"field","e.g",75
"college","university",74
"data","structures",74
"designing","implementing",74
"statistics","machine",74
"systems","engineering",74
"advanced","mathematics",73
"physics","chemistry",73
"qualified","applicants",73
"200","level",72
"account","information",72
"analysis","artificial",72
"analytical","algorithms",72
"associate's","degree",72
"basic","college",72
"behavioral","social",72
"biology","astronomy",72
"broader","range",72
"calculus","differential",72
"candidates","education",72
"chemistry","biology",72
"computer","information",72
"count","note",72
"courses","designated",72
"courses","intended",72
"coursework","typically",72
"depth","experience",72
"differential","equations",72
"disciplines","i.e",72
"discrete","mathematics",72
"e.g","algorithms",72
"e.g","computer",72
"e.g","physics",72
"education","level",72
"equations","discrete",72
"experience","relevant",72
"hard","sciences",72
"hiring","manager",72
"i.e","behavioral",72
"implementing","machine",72
"information","provided",72
"intelligence","college",72
"level","algebra",72
"level","math",72
"level","requirement",72
"manager","organization",72
"mathematics","applied",72
"mathematics","typically",72
"minimum","acceptable",72
"mining","advanced",72
"mining","artificial",72
"physical","hard",72
"position","degree",72
"position","entry",72
"qualifications","listed",72
"salary","offers",72
"salary","range",72
"science","disciplines",72
"science","e.g",72
"science","operations",72
"sciences","e.g",72
"structures","data",72
"typically","200",72
"typically","5",72
"university","relevant",72
"upper","level",72
"data","sets",65
"master's","degree",64
"race","color",60
"doctoral","degree",56
"data","analysis",55
"data","driven",51
"orientation","gender",50
"communication","skills",49
"americas","united",48
"color","religion",47
"interpersonal","skills",47
"receive","consideration",46
"law","poster",44
"solve","complex",43
"deep","learning",42
"time","series",41
"data","scientists",40
"statistical","mathematical",40
"statistical","modeling",40
"learning","techniques",37
"national","security",37
"civilian","intelligence",36
"defense","civilian",36
"engineering","salary",36
"intelligence","personnel",36
"personnel","system",36
"science","professionals",36
"section","2108",36
"social","life",36
"system","dcips",36
"title","5",36
"veterans","preference",36
"science","statistics",35
"sex","sexual",35
"experience","developing",33
"statistical","models",33
"skills","experience",32
"statistical","techniques",32
"legally","protected",31
"religion","sex",31
"cross","functional",30
"cutting","edge",30
"industry","experience",30
"mathematics","computer",30
"protected","status",30
"statistics","mathematics",30
"supply","chain",30
"experimental","design",29
"marital","status",29
"predictive","analytics",29
"series","analysis",29
"analytics","experience",28
"religion","national",27
"degree","program",26
"prior","experience",26
"scientists","engineers",26
"strong","interpersonal",26
"ad","hoc",25
"quantitative","field",25
"background","investigation",24
"decision","trees",24
"modeling","skills",24
"ms","degree",24
"reasonable","accommodations",24
"statistical","analyses",24
"datasets","proficiency",23
"identity","veteran",23
"natural","language",23
"origin","sex",23
"science","solutions",23
"statistics","computer",23
"technical","audiences",23
"we’d","love",23
"2","4",22
"analysis","forecasting",22
"analytics","statistical",22
"communicate","effectively",22
"critical","thinking",22
"data","analytics",22
"data","visualization",22
"developing","data",22
"ideal","candidate",22
"linear","regression",22
"models","decision",22
"strong","mathematical",22
"technical","stakeholders",22
"accessibility","info",21
"applying","statistical",21
"assistive","technology",21
"coding","proficiency",21
"cookies","view",21
"disability","assistance",21
"incompatible","assistive",21
"info","ebay",21
"mathematical","statistical",21
"mathematical","techniques",21
"modeling","projects",21
"multivariate","analysis",21
"policy","view",21
"poster","eeo",21
"poster","supplement",21
"predictive","analysis",21
"privacy","policy",21
"risk","management",21
"scientific","modeling",21
"solutions","ability",21
"strongly","preferred",21
"talent","ebay.com",21
"50","variables",20
"algorithmic","models",20
"analyses","capable",20
"analyses","techniques",20
"analysis","linear",20
"analysis","multivariate",20
"analysis","time",20
"analysts","data",20
"analytics","statistics",20
"analyze","technical",20
"apply","techniques",20
"assistance","glassdoorindeedindeed",20
"basic","technical",20
"business","problemsqualifications",20
"business","units",20
"categorical","data",20
"chain","pricing",20
"coding","languages",20
"collaborative","environment",20
"communicating","directly",20
"communications","skills",20
"complicated","statistical",20
"continued","success",20
"credit","risk",20
"design","categorical",20
"director","level",20
"driven","innovation",20
"ed","analysts",20
"ed","professional",20
"engineering","experience",20
