"word1","word2","word3","n"
"machine","learning","data",152
"algorithms","programming","data",144
"equal","opportunity","employer",92
"learning","data","mining",77
"data","science","advanced",76
"accredited","college","university",74
"applied","mathematics","statistics",74
"learning","data","science",74
"statistics","machine","learning",74
"advanced","statistical","analysis",73
"applied","statistics","machine",73
"information","systems","engineering",73
"account","information","provided",72
"advanced","analytical","algorithms",72
"advanced","mathematics","typically",72
"analysis","artificial","intelligence",72
"analytical","algorithms","programming",72
"artificial","intelligence","college",72
"basic","college","level",72
"calculus","differential","equations",72
"candidates","education","level",72
"chemistry","biology","astronomy",72
"college","level","algebra",72
"college","level","requirement",72
"college","university","relevant",72
"computer","information","systems",72
"computer","science","e.g",72
"coursework","typically","5",72
"data","mining","advanced",72
"data","mining","artificial",72
"data","science","operations",72
"data","structures","data",72
"designing","implementing","machine",72
"differential","equations","discrete",72
"disciplines","i.e","behavioral",72
"e.g","algorithms","programming",72
"e.g","computer","information",72
"e.g","physics","chemistry",72
"equations","discrete","mathematics",72
"field","e.g","computer",72
"hard","sciences","e.g",72
"hiring","manager","organization",72
"i.e","behavioral","social",72
"implementing","machine","learning",72
"intelligence","college","level",72
"level","math","courses",72
"math","courses","designated",72
"math","courses","intended",72
"mathematics","applied","mathematics",72
"mathematics","statistics","applied",72
"mathematics","typically","200",72
"mining","advanced","analytical",72
"mining","artificial","intelligence",72
"physical","hard","sciences",72
"physics","chemistry","biology",72
"position","salary","offers",72
"programming","data","science",72
"programming","data","structures",72
"related","field","e.g",72
"science","advanced","statistical",72
"science","disciplines","i.e",72
"science","e.g","algorithms",72
"science","operations","research",72
"sciences","e.g","physics",72
"statistical","analysis","artificial",72
"statistics","applied","statistics",72
"structures","data","mining",72
"typically","200","level",72
"university","relevant","experience",72
"upper","level","math",72
"sexual","orientation","gender",50
"orientation","gender","identity",47
"race","color","religion",44
"behavioral","social","life",36
"civilian","intelligence","personnel",36
"computer","science","professionals",36
"defense","civilian","intelligence",36
"engineering","salary","range",36
"intelligence","personnel","system",36
"personnel","system","dcips",36
"software","engineering","salary",36
"machine","learning","techniques",35
"sex","sexual","orientation",35
"computer","science","statistics",32
"mathematics","computer","science",30
"time","series","analysis",29
"advanced","statistical","techniques",26
"legally","protected","status",26
"religion","national","origin",26
"color","religion","national",24
"data","science","solutions",23
"gender","identity","veteran",23
"identity","veteran","status",23
"national","origin","sex",23
"statistics","computer","science",23
"data","scientists","engineers",22
